Project Name,Sector,Donor,Date of Agreement,Completion Date,Commitments (USD),Disbursements (USD)
Capacity Strengthening of NRA for Resilient Reconstruction,HOUSING,United Nations Development Programme,42888,43830,500000,466465
Cooperative Market Development Programme,COMMERCE,United Nations Development Programme,43133,44957,2000000,648149
Value Chain Development of Fruit and Vegetables in Nepal,AGRICULTURE,United Nations Development Programme,43277,44926,5500000,1616022
BRAC Pilot Project,HEALTH,BRAC Nepal,42958,42916,124937,124937
Integrated Community Development Project,HEALTH,BRAC Nepal,43226,44227,590683,215714
Technical Assistance for Micro Enterprise Development for Poverty Alleviation at the Sub-National Level (MEDPA-TA),LIVELIHOOD,United Nations Development Programme,43385,44104,1414790,1299134
Leveraging Tourism for the SDGs in Nepal (Digo Paryatan),TOURISM,United Nations Development Programme,43655,44149,88307,88307
Ecosystem Based Adaptation in Mountain Ecosystems,ENVIRONMENT SCIENCE & TECHNOLOGY,United Nations Development Programme, -,41090,1901201,840000
Conflict prevention programme,PEACE AND RECONSTRUCTION,United Nations Peace Fund,40452,41182,9958679,10195781
Earthquake Recovery and Preparedness Program,LIVELIHOOD,Samaritan's Purse International Relief,42171,43997,6288384,5561114
Renewable Energy for Rural Livelihoods (RERL),ALTERNATE ENERGY,United Nations Development Programme,40664,41274,2630844,2631710
Strengthening Rule of Law and Human Rights Protection System in Nepal Programme,GENERAL ADMINISTRATION,United Nations Development Programme,41387,43100,18478530,16699486
Strengthening National Planning and Monitoring Capacity,PLANNING & STATISTICS,Department for International Development,41451,42978,200351,200351
Strengthening National Planning and Monitoring Capacity,GENERAL PUBLIC SERVICE,United Nations Development Programme,41451,42978,1684603,2044603
Nepal Climate Change Support Programme (NCCSP),ALTERNATE ENERGY,United Nations Development Programme,41284,42369,4212110,4152090
Comprehensive Disaster Risk Management Programme (CDRMP),LIVELIHOOD,United Nations International Stragegy for Disaster Reduction,40595,42369,32398258,30969916
Project to Prepare the Public Administration for State Reforms (PREPARE),GENERAL ADMINISTRATION,United Nations Development Programme,41347,42091,1052000,3515430
Developing Capacities for Effective Aid Management and Coordination Project,OTHERS - ECONOMIC,U.S. Agency for International Development,39814,41274,1701460,1697325
TA Earthquake Risk Reduction and Recovery Preparedness for Nepal Project.,ENVIRONMENTAL PROTECTION,United Nations Development Programme,39391,39994,760000,236585
Rural Energy Development Programme:REDP,ALTERNATE ENERGY,United Nations Development Programme,39343,40633,3325399,687911
Assistance to the Peace Process in Nepal,PUBLIC ORDER AND SAFETY,Department for International Development,39163,40056,1764043,1764949
Assistance to the Peace Process in Nepal,PEACE AND RECONSTRUCTION,Department for International Development,39163,40056,6478016,6467782
UN Interagency Rehabilitation Programme for Verified Minors and Late Recruits (VMLRs) Project,PEACE AND RECONSTRUCTION,United Nations Peace Fund,40332,41639,6920730,8463278
UN Joint programme of support to LGCDP,LOCAL DEVELOPMENT,United Nations Development Programme,39904,41486,9305210,6377748
Support to Participatory Constitution Building in Nepal (UNDP),OTHERS - SOCIAL,United Nations Development Programme,39448,40209,44896918,18943337
Micro Enterprises Development Programme (MEDEP Phase IV),INDUSTRY,United Nations Development Programme,41481,43312,40187300,35320493
The Local Governance and Community Development Programme (Phase II) - PPSF,LOCAL DEVELOPMENT,United Nations Development Programme,41289,42750,16175153,17568034
Armed Violence Reduction and Strengthening Community Security Project (AVRSCS),DEFENCE,United Nations Peace Fund,41285,42735,1785000,1888000
Disaster Resilient Community Support Project,HEALTH,Malteser International,42389,43484,1953795,1026445
Integrated development of health,OTHERS - SOCIAL,Himalayan Trust,42702,43646,0,345604
Integrated development of health,YOUTH  SPORTS & CULTURE,Himalayan Trust,42702,43646,0,816118
Agriculture-Based Micro-Enterprise Development Project,AGRICULTURE,Canadian International Development Agency,40630,40999,1222743,1227747
Peace Building from Below (PBB),PEACE AND RECONSTRUCTION,Canadian International Development Agency,39758,41029,8318072,2617177
Canada Fund for Local Initiatives,LIVELIHOOD,Canadian International Development Agency,40360, -,330442,0
SAHAKARYA - Governance,LOCAL DEVELOPMENT,Canadian International Development Agency,40273,41029,346363,182501
Development Democracy in Nepal Responsive Facility (DDNRF) - Nepal,OTHERS - SOCIAL,Canadian International Development Agency, -,40816,4402571,0
SAHAKARYA - agriculture,AGRICULTURE,Canadian International Development Agency,40462,40724,823287,823287
Project for Strengthening the Capacity of Court for Expeditious and Reliable Dispute Settlement,CONSTITUTIONAL BODIES,Japan International Cooperation Agency,41408,42825,2628837,2401712
Strengthening the Monitoring and Evaluation System in Nepal - Phase II,ECONOMIC AFFAIRS,Japan International Cooperation Agency,40742,42155,2985636,2834144
Project for Assessment of Earthquake Disaster Risk for the Kathmandu Valley,URBAN DEVELOPMENT,Japan International Cooperation Agency,42018,43220,3027130,4125382
Agriculture Training and Extension Improvement Project (Follow-up Cooperation),AGRICULTURE,Japan International Cooperation Agency,42282,42704,138419,140239
Project on Urban Transport Improvement for Kathmandu Valley,ROAD TRANSPORTATION,Japan International Cooperation Agency,41512,42369,2575409,2373678
Project for the Operation and Maintenance of Sindhuli Road,ROAD TRANSPORTATION,Japan International Cooperation Agency,40777,42338,7932143,5307854
Project for the Development of Spare Parts Management Center and En-route Control System Services,AIR TRANSPORTATION,Japan International Cooperation Agency,41551,42704,2222628,2106596
Strengthening Community Mediation Capacity for Peaceful and Harmonious Society Project Phase II,OTHERS - SOCIAL,Japan International Cooperation Agency,42037,43159,3317402,3496943
Sindhuli Road Corridor Commercial Agriculture Promotion Project,AGRICULTURE,Japan International Cooperation Agency,41975,43889,4768766,4214111
Support for Improvement of School Management (SISM) Project Phase II,EDUCATION,Japan International Cooperation Agency,41344,42735,6117837,5267832
Project for Improving Local Governance Training through Capacity Enhancement on Research and Analysis,LOCAL DEVELOPMENT,Japan International Cooperation Agency,42263,43841,3696281,2816526
Project on Rehabilitation and Recovery from Nepal Earthquake (Technical Cooperation),PEACE AND RECONSTRUCTION,Japan International Cooperation Agency,42170,43039,6787643,0
Project on Rehabilitation and Recovery from Nepal Earthquake (Technical Cooperation),PUBLIC ORDER AND SAFETY,Japan International Cooperation Agency,42170,43039,12086505,17985523
Capacity Development Project for the Improvement of Water Supply Management in Semi-Urban Areas (WASMIP II),DRINKING WATER,Japan International Cooperation Agency,42360,44286,3732366,1276429
Transitional Project Implementation Support for Emergency Reconstruction Projects (TPIS-ERP),EDUCATION,Japan International Cooperation Agency,42261,42674,1656815,6935747
Transitional Project Implementation Support for Emergency Reconstruction Projects (TPIS-ERP),HOUSING AND COMMUNITY AMENITIES,Japan International Cooperation Agency,42261,42674,9929288,4660994
Project on Capacity Development for the Implementation of Economic Census 2018,PLANNING & STATISTICS,Japan International Cooperation Agency,42417,44255,5750454,2441628
Project on Participatory Rural Recovery,LOCAL DEVELOPMENT,Japan International Cooperation Agency,43654,44804,2311735,0
Improving Quality of School Education in Nepal,EDUCATION,Japan International Cooperation Agency,43419,45291,3863682,51614
Promotion of Irrigated Agriculture in Terai Plain,IRRIGATION,Japan International Cooperation Agency,43502,45382,4156630,196918
Capacity Development in Operation and Maintenance of Aviation Safety Equipment,AIR TRANSPORTATION,Japan International Cooperation Agency,42963,44285,1150218,443406
Operation and Maintenance of Sindhuli Road - Phase II,ROAD TRANSPORTATION,Japan International Cooperation Agency,43201,44286,2803372,0
School Health and Nutrition Project,HEALTH,Japan International Cooperation Agency, -,41059,3611036,4256045
Participatory Watershed Management and Local Governance Project,FOREST,Japan International Cooperation Agency, -,41834,5203079,5747643
Gender Mainstreaming and Social Inclusion Project,Women  CHILDREN & SOCIAL WELFARE,Japan International Cooperation Agency, -,41670,4780434,4887612
Strengthening Community Mediation Capacity for Peaceful and Harmonious Society,PEACE AND RECONSTRUCTION,Japan International Cooperation Agency, -,41547,3266277,3928797
Promotion of Quality Cocoon Production and Processing Project,AGRICULTURE,Japan International Cooperation Agency, -,40877,1551349,2139957
Project for Capacity Development on Water Supply in Semi-Urban Area,DRINKING WATER,Japan International Cooperation Agency, -,41578,3090466,3123793
Promoting Peace Building and Democratization Through The Capacity Development of The Media Sector,COMMUNICATIONS,Japan International Cooperation Agency, -,41578,3365095,3122839
Revitalization of Remote Villages through Community Forest Conservation,AGRICULTURE,Japan International Cooperation Agency, -,42400,776933,642422
Village Development for Kavrepalanchok,LOCAL DEVELOPMENT,Japan International Cooperation Agency, -,40999,298382,325697
Technical support and dissemination of alternative fuel firewood and oil,ALTERNATE ENERGY,Japan International Cooperation Agency, -,40999,180091,195850
Local capacity building for arsenic mitigation in Nawalparasi,HEALTH,Japan International Cooperation Agency, -,41444,592896,537096
Youth Empowerment through Practical Peace Education,PEACE AND RECONSTRUCTION,Japan International Cooperation Agency, -,40663,276674,348997
Promotion of Maternal and Child Health at 4 VDCs in Nawalparasi District,HEALTH,Japan International Cooperation Agency, -,41364,593890,564946
Promoting Quality Education through Community Based School Management Follow-up,EDUCATION,Japan International Cooperation Agency, -,41274,370625,354342
Promoting Quality Eduction through Community Based School Management,EDUCATION,Japan International Cooperation Agency, -,40999,543997,591033
Bishesor Prasad Koirala Highway (Sindhuli Road Section III) [Nepalthok-Khurkot Segment],ROAD TRANSPORTATION,Japan International Cooperation Agency,39987,42094,114990369,107761655
Forest Preservation Project,FOREST,Japan,40296,40633,6442953,5727500
The Food AID Project (KR 2010),ECONOMIC AFFAIRS,Japan International Cooperation Agency,40619, -,12574662,12541806
Food Security Project for Underprivileged Farmers (KRII),AGRICULTURE,Japan International Cooperation Agency,40296,40482,5249906,6308290
Improvement of Kathmandu-Bhaktapur Road Project,ROAD TRANSPORTATION,Japan International Cooperation Agency,39646,40633,26243451,30621138
Improvement of community access (Rural Road Bridge Program),LOCAL DEVELOPMENT,Japan International Cooperation Agency,40242, -,11130474,8665402
Melamchi Drinking Water Project,DRINKING WATER,OPEC Fund for Inernational Development,36915,43496,208000000,183273805
Emergency Rehabilitation of Flood damaged trial bridges,LOCAL DEVELOPMENT,Swiss Agency for Development and Cooperation,42048,42369,1001747,997393
Strengthening Accountability and Governance of NGOs(SAGON),MISCELLANEOUS,Swiss Agency for Development and Cooperation,41958,43008,647762,635233
Employment Fund Phase II,COMMERCE,Swiss Agency for Development and Cooperation, -, -,2646085,4807959
Emergency relief to earthquake affected people in Dolakha,PEACE AND RECONSTRUCTION,Swiss Agency for Development and Cooperation,42097,42292,928606,817714
Rebuilding Family Farming (RFF) in response to Earthquake in Nepal,AGRICULTURE,Swiss Agency for Development and Cooperation,42195,42538,1019247,851400
Governance Facility Programme Phase I,MISCELLANEOUS,Swiss Agency for Development and Cooperation,41290,44196,9535059,8682321
Nepal Earthquake Reconstruction- Multi Donor Trust Fund,EARTHQUAKE RECONSTRUCTION,Swiss Agency for Development and Cooperation,42355,43830,7070492,7174508
Sajha Sawal (“Common Questions”) – Towards Federalism (single phase): 1.02.2017 – 31.12.2017,MISCELLANEOUS,Swiss Agency for Development and Cooperation,42815,43059,496805,490159
Increasing access to treatment,HEALTH,AIDS Healthcare Foundation,42747,44572,3342051,2035056
She Leads (Women Empowerment Program),SOCIAL PROTECTION,Government of Australia,43466,44592,0,708859
She Leads (Women Empowerment Program),POLICY AND STRATEGIC,Government of Australia,43466,44592,1270077,100228
Interim Capacity Support for Federalism,POLICY AND STRATEGIC,Swiss Agency for Development and Cooperation,43113,43846,450923,413237
Support to Recovery and Reconstruction in Nepal,EARTHQUAKE RECONSTRUCTION,Swiss Agency for Development and Cooperation,42005,43496,0,4024171
Home Garden Project Phase 3,AGRICULTURE,Swiss Agency for Development and Cooperation,39903,41364,1134032,1044154
Vegetable Seed Project Phase 3,AGRICULTURE,Swiss Agency for Development and Cooperation,40512,42004,2623056,2239504
Good Governance Project Phase IV,GENERAL PUBLIC SERVICE,Swiss Agency for Development and Cooperation,39867,40968,1210406,1130370
Raising Impact of National Skill Testing Board Phase I,EDUCATION,Swiss Agency for Development and Cooperation,39128,40908,788912,808563
Vertical Shaft Brick Kiln Project Phase 5,INDUSTRY,Swiss Agency for Development and Cooperation,39632,40908,5066345,3759667
Multi Stakeholder Forestry Programme (MSFP),FOREST,Swiss Agency for Development and Cooperation,40931,42035,61680875,43675795
Franchising Skill Phase 3,EDUCATION,Swiss Agency for Development and Cooperation,39770,40663,1809409,1048504
Strengthen BOG secretariat,PEACE AND RECONSTRUCTION,Swiss Agency for Development and Cooperation,40087,40816,1184763,1144862
River Protection Works in East Chitwan,IRRIGATION,Swiss Agency for Development and Cooperation,40644,41639,3936552,4056568
Safer Migration Project Phase I,LABOUR,Swiss Agency for Development and Cooperation,40732,41305,1273074,1281434
Social Responsiveness Program,Women  CHILDREN & SOCIAL WELFARE,Swiss Agency for Development and Cooperation,39990,40847,506634,386872
Safe Drinking Water for Ramechhap District,DRINKING WATER,Swiss Agency for Development and Cooperation, -,42369,0,113135
Trial Bridge Sub Sector Programme III,ROAD TRANSPORTATION,Swiss Agency for Development and Cooperation,40625,41851,12887410,12914789
Strengthening the Accountability of Local Government,LOCAL DEVELOPMENT,Swiss Agency for Development and Cooperation,41460,42931,10347778,2627506
Rehalibitation of Critical Trail Bridges,ROAD TRANSPORTATION,Swiss Agency for Development and Cooperation,41290,41639,544722,544959
Support to HRDC Hospital and Research Centre,HEALTH,Swiss Agency for Development and Cooperation,41261,41486,512038,457376
MSFP - Interim Forestry Project,FOREST,Swiss Agency for Development and Cooperation,40741,40833,3427454,3169073
POWER PLANT EXTENSION SALLERI CHIALSA ELECTRICITY COMPANY (SCECO) – SINGLE PHASE,ENERGY,Swiss Agency for Development and Cooperation,40787,41274,824083,731892
Motorable Local Road Bridge Program Phase I,LOCAL DEVELOPMENT,Swiss Agency for Development and Cooperation,40625,41973,20693419,20371297
State Building at Local Level Phase 1,LOCAL DEVELOPMENT,Swiss Agency for Development and Cooperation,40561,42035,5044136,1982396
Nepal Swiss Community Forestry Project,FOREST,Swiss Agency for Development and Cooperation,39786,40740,4983112,3982554
Buffer Zone Development Project,LIVELIHOOD,Swiss Agency for Development and Cooperation, -,40602,601607,595142
Support for Effective Empowerment,OTHERS - SOCIAL,Swiss Agency for Development and Cooperation,39752,40847,386007,229886
Local Infrastructure for Livelihood Improvement Project-II,LOCAL DEVELOPMENT,Swiss Agency for Development and Cooperation,40203,41486,10211651,12004021
Rural Health Development Project (Phase-7),HEALTH,Swiss Agency for Development and Cooperation,40120,41470,3894460,3755547
Trail Bridge Sub-Sector Programme,LOCAL DEVELOPMENT,Swiss Agency for Development and Cooperation,39128,40543,8304337,9318894
Strengthening Resilience of Earthquake Affected Schools,EDUCATION,Shanti Volunteer Association,42762,43858,14667147,1407207
Promotion of Solar energy (NRREP),ENERGY,German Development Cooperation (KfW), -, -,7763102,915717
Reconstruction and upgrading of electricity supply in EQ districts,ENERGY,German Development Cooperation (KfW), -, -,5473500,130995
Energy efficiency programme Nepal - NIDC,ENERGY,German Development Cooperation (KfW), -, -,2740477,701315
RERA: Renewable Energy in Rural Areas,ENERGY,German Development Cooperation (GIZ),42370,43951,6501340,6487114
CDMun: Capacity Development of New Municipalities,CONSTITUTIONAL BODIES,German Development Cooperation (GIZ),42009,43495,4545850,4632930
RPN: Recovery Programme Nepal,OFF BUDGET,German Development Cooperation (GIZ), -,43343,11166893,11466414
Transition Programme (Earthquake support),OFF BUDGET,German Development Cooperation (GIZ), -,42338,559000,529000
SAARC-TPN: SAARC Trade Promotion Network,OFF BUDGET,German Development Cooperation (GIZ), -,42916,4070556,3083447
ICIMOD : International Center for Integrated Mountain Development,FOREST,German Development Cooperation (GIZ), -,42766,8092938,6660960
KSL: Conservation of Biodiversity in Kailash Region,MISCELLANEOUS,German Development Cooperation (GIZ), -,42766,3823939,3525269
REDD++: BMU project REDD+ Himalaya Partnership,OFF BUDGET,Federal Ministry for Economic Cooperation and Development, -, -,4983388,2477792
INCLUDE III: Inclusive Development of Economy,LOCAL DEVELOPMENT,German Development Cooperation (GIZ),42380,43495,8491270,8642477
REDD+: REDDplus Himalayas,FOREST,German Development Cooperation (GIZ),41275,44196,5741269,5267787
S2HSP: Support to Health Service Project,HEALTH,German Development Cooperation (GIZ),42012,44226,19555356,13908354
NEEP II: Nepal Energy Efficiency Programme,ALTERNATE ENERGY,German Development Cooperation (GIZ), -,43100,5410523,4431297
HSSP II:Health Sector Support Programme,HEALTH,German Development Cooperation (GIZ), -,42551,8166437,6627570
RAS II: Revenue Administration Support,GENERAL PUBLIC SERVICE,German Development Cooperation (GIZ), -,43190,4094445,2395209
Support to Nepal in the field of Quality Infrastructure,OTHERS - ECONOMIC,German Development Cooperation (PTB),41912,43190,2004276,1695025
INCLUDE II:Inclusive Development of Economy Programme,AGRICULTURE,German Development Cooperation (GIZ), -,42537,7636792,5954142
RAS III: Revenue Administration Support,REVENUE & FINANCIAL ADMINISTRATION,German Development Cooperation (GIZ), -,44227,2464200,1471939
NEEP III: Nepal Energy Efficiency Programme,ALTERNATE ENERGY,German Development Cooperation (GIZ),42766,43860,5686250,4219327
ICIMOD: Policy Dialogue,MISCELLANEOUS,German Development Cooperation (GIZ),43101,43131,1199300,789736
Support to Nepal in the field of Quality Infrastructure,OTHERS - ECONOMIC,German Development Cooperation (PTB),43374,44286,2464200,455200
Local Provincial and Economic Development Programme (LPED),URBAN DEVELOPMENT,German Development Cooperation (GIZ),43494,44592,6690600,1876469
Capacity Development - Support to Governance (CD-SG),MISCELLANEOUS,German Development Cooperation (GIZ),43481,44583,5366820,1094002
Supporting Nepal's WTO accession,COMMERCE,German Development Cooperation (GIZ),39673,41274,1263634,1132563
Support to Peace Process (STPP),PUBLIC ORDER AND SAFETY,German Development Cooperation (GIZ),39538,42003,16752394,15636882
Inclusive Development of the Economy (INCLUDE) Programme,OTHERS - ECONOMIC,German Development Cooperation (GIZ),39850,41639,12960012,9752568
Revenue Administration Support Project (RAS),REVENUE & FINANCIAL ADMINISTRATION,German Development Cooperation (GIZ),39692,43100,4419490,2973634
Health Sector Support Programme (HSSP),HEALTH,German Development Cooperation (GIZ),40080,41455,24314060,15547519
Nepal Energy Efficiency Programme (NEEP)/Support to Energy Efficiency,ELECTRICITY,German Development Cooperation (GIZ),40457,41820,5363774,5195881
Energising Development (EnDev) Nepal,ENERGY,German Development Cooperation (GIZ),39448,44227,11372550,10198393
HIV prevention for Injecting Drug Users (Harm Reduction),HEALTH,German Development Cooperation (GIZ),40634,41820,2750653,2580400
Improvement of Livelihoods in Rural Areas (ILRA),FINANCIAL SERVICES,German Development Cooperation (GIZ),40080,41639,8034807,7610386
Sub-national Governance Programme,LOCAL DEVELOPMENT,German Development Cooperation (GIZ),40664,42003,15750417,12845554
Forest Carbon Partnership Facility : Nepal REDD+ Readiness Preparation Support Program,FOREST,World Bank Trust Funds,42755,43830,5200000,2079382
Climate Smart Development Programme (Project No. 204984),ENVIRONMENT SCIENCE & TECHNOLOGY,Department for International Development,42879,44705,0,8039395
Regional Urban Development Project (RUDP),ECONOMIC AFFAIRS,Asian Development Bank,43066, -,150000000,50144357
South Asia Subregional Economic Cooperation Power System Expansion Project-Additional Financing for Solar Energy,ELECTRICITY,Asian Development Bank,42753,44742,20000000,0
Power Transmission and distribution Efficiency Enhancement Project ADB,ENERGY,Asian Development Bank,42988,44814,152000000,12416377
Modernization of Rani Jamara Kulariya Irrigation Scheme- Phase 2,IRRIGATION,International Development Association,43230,45291,66000000,463711
Millennium Challenge Corporation Compact Program,ROAD TRANSPORTATION,Millennium Challenge Corporation,42992, -,500000000,7170366
Trade Promotion Programme (TPP),COMMERCE,German Development Cooperation (GIZ),41286,42766,4656607,4441188
Poverty Alleviation in Selected Rural Areas of Nepal (PASRA),LOCAL DEVELOPMENT,German Development Cooperation (GIZ),39538,40693,10874704,8934743
Urban Development through Local Efforts Programme (UDLE),URBAN DEVELOPMENT,German Development Cooperation (GIZ),39538,40786,9424744,7841845
Building National Integrity in Nepal: TI-Nepal,OFF BUDGET,41662,42766,565547,436504, -
Support to Himal South Asia Magazine 2012,OTHERS - SOCIAL,41149,41974,127218,138765, -
Norad's Support on Higher education - Tribhuvan University and Kathmandu University (NPL 13/0020,EDUCATION,39448,43861,11790701,12583416, -
Quality assurance of Governance support (LGCDP-TA),LOCAL DEVELOPMENT,40910,41654,1005295,2082136, -
Development Dialogue,EDUCATION,41290,42766,697751,415638, -
Political Youth wings support for collaborative leadership,PEACE AND RECONSTRUCTION,41294,42035,1046627,491750, -
Support to ICIMOD for 2013-17,ENVIRONMENT SCIENCE & TECHNOLOGY,41471,43100,26165681,22657260, -
Reconstruction of Schools Damaged by Earthquake in Northern Dolakha,EDUCATION,42384,42765,1794749,3362237, -
Reconstruction of Schools after Earthquake,EDUCATION,  -, -,2179958,2179958, -
Sustainable Energy for All- Capacity Building in NPC,ENERGY,42035,42766,337799,117664, -
Energize Nepal,ENERGY,42578,44561,2913267,1161856, -
Social Justice for Women Women  CHILDREN & SOCIAL WELFARE,42471,43555,1628749,1573270, -, -
Political Empowerment of Women Leaders,Women  CHILDREN & SOCIAL WELFARE,42479,43555,582715,525375, -
Preparing Young Leaders for Local Level Elections,YOUTH  SPORTS & CULTURE,42371,43496,718710,630737, -
Strengthening LGBTI Rights (NPL-15/0014),OTHERS - SOCIAL,42209,43304,613578,549557, -
INSEC Human Rights Year Book (NPL-16/0004),OTHERS - SOCIAL,42371,43496,0,423737, -
Promoting Quality Education for Girls (NPL-16/0007),EDUCATION,42597,43677,913243,198276, -
Combating Gender Based Violence (NPL-14/0015), UNFPA,Women  CHILDREN & SOCIAL WELFARE,42374,42766,955919,1421854
Women's Economic Security,Women  CHILDREN & SOCIAL WELFARE,43066,44161,0,145806, -
Technical Assistance for SSDP,EDUCATION,43046,44141,0,339029, -
Support to ICIMOD for the period 2018-2022,ENVIRONMENT SCIENCE & TECHNOLOGY,43165,44926,12775212,5241116, -
NPL-17/0012 Enhancing Access to Justice through Institutional Reform Project 2018-2020,POLICY AND STRATEGIC,43109,43861,2807007,2796278, -
NPL-18/0006 Post-Earthquake School Reconstruction in Nepal, Bridging the Gap in Remote Areas,EDUCATION,43106,44201,7056489,5561672
NPL-18/0007 Inclusive Education - Support to Children with Disabilities,EDUCATION,43128,44227,1990679,2047098, -
NPL-17/0015 Advancing Hydropower Development in Nepal,ENERGY,43440,44742,5264408,3513802, -
NPL-18/0005 Parliamentary Support Project,POLICY AND STRATEGIC,United Nations Development Programme,43437,44926,4945383,3252495
NPL 18/0011 Khimti Rural Electric Cooperative (KREC) Sustainability Project,ELECTRICITY,43552,43830,252201,117248, -
NPL 18-0010 Quality Assurance of Dudh Koshi Hydropower Project,ELECTRICITY,43119,43496,527488,242769, -
Save the Children Strategic Framework for Cooperation 2010 -2012,EDUCATION,40214, -,5004254,5279674, -
Using media to promote regional peace and development,Women  CHILDREN & SOCIAL WELFARE,41509,42735,139050,343880, -
Cultural Heritage Presevation,YOUTH  SPORTS & CULTURE,  -, -,148960,120693, -
Preparing for the rehabilitation of Maoist combattants in the cantonement,PEACE AND RECONSTRUCTION,40515, -,2512268,2105886, -
Peacebuilding and collaborative leadership  1,SOCIAL PROTECTION,40632, -,152158,152158, -
Sankalpa - Empowerment of Women for Political and Social Justice,SOCIAL PROTECTION,41400, -,2296474,2000766, -
IPWA Ensuring Equal Representation in Policy and Decision Making,Women  CHILDREN & SOCIAL WELFARE,40549, -,631939,592481, -
Support to Transitional Justice efforts in Nepal,SOCIAL PROTECTION,41643, -,1190125,970068, -
Child Friendly Local Governance CFLG,LOCAL DEVELOPMENT,41287,42035,6895719,5588392, -
Carter Senteret,GENERAL PUBLIC SERVICE,40616, -,1092133,1107182, -
Support to Human Rights, Strategic Plan of INSEC,POLICY AND STRATEGIC,40064,41639,2421675,2601847
Support to Center for Constitutional Dialogue,CONSTITUTIONAL BODIES,40421, -,1644161,1686572, -
Multi Donor Trust Fund for Public Financial Management (WB),OFF BUDGET,Department for International Development,40525, -,4300000,4562030
Multi Donor Trust Fund for Public Financial Management (WB),FINANCIAL REFORM,40525, -,17242720,21503410, -
Support to election commission on CA election and legislation reform,CONSTITUTIONAL BODIES,40783,41274,1133848,1617070, -
Theatre Partnership Nepal- YOUTH  SPORTS & CULTURE,40205,40574,444346,447627, -, -
Support to Constitution Making and Implementation,OTHERS - SOCIAL,40193,40922,3165225,3056859, -
Music Collaboration Through Nepal Music Center - Exit Phase,YOUTH  SPORTS & CULTURE,40395, -,466986,488410, -
ICIMOD core support,AGRICULTURE,39324,41274,3957803,4589410, -
Support to BDS for HR, media and core fund,SOCIAL PROTECTION,  -,41670,1078671,902485
Promoting National Integrity System TI-Nepal,GENERAL ADMINISTRATION,40528,41639,200981,205809, -
Research fund social inclusion and nationbuilding, SIRF II,Women  CHILDREN & SOCIAL WELFARE,39975,41274,3932847,3662810
Promoting Participatory Democracy - MIREST,OTHERS - SOCIAL,40497,41943,2022449,1971145, -
Sediment handling and headwork design of hydro power stations,ENERGY,38937,41639,1171728,1191117, -
Himalaya Glacier Monitoring Project,ENVIRONMENT SCIENCE & TECHNOLOGY,40512,41639,5688744,4742124, -
NPL 17-0004 Support to UN Residence Coordinator's Office,SOCIAL PROTECTION,41508,42369,1046627,1061410, -
Short term support to Butwal Technical Institute,ENERGY,41279,42031,133249,103643, -
Part financing of new CT scanner, Dhulikhel Hopsital,HEALTH,41436,41820,347011,346618
Vocational training feasibility study,EDUCATION,41302,41669,114563,107085, -
Building Electoral Capacity in Nepal- IFES (2014-2015),CONSTITUTIONAL BODIES,41661,42034,183639,229041, -
Support to National Election Observations (GEOC),GENERAL PUBLIC SERVICE,41530, -,93232,162669, -
Support to National Election Observations (GEOC),GENERAL ADMINISTRATION,41530, -,310800,298186, -
Support to DPA's Liaison Office in Nepal,PEACE AND RECONSTRUCTION,41086,41274,466869,492152, -
Strengthening Voice Against Impunity,OTHERS - SOCIAL,41303, -,54164,51830, -
Supporting Nepal's Constitution Building Process-IDEA,CONSTITUTIONAL BODIES,41297,41670,1526381,1860837, -
Capacitating and Facilitating Collborative Leadership - Youth Leaders,OTHERS - SOCIAL,41280, -,741647,491750, -
Development Dialogue, 2014-2015,OTHERS - SOCIAL,41646,41670,1003999,517103
Rural Village Water Resources Management Project Phase III (RVWRMP III),LOCAL DEVELOPMENT,Finland,42348,44196,16411500,7914164
Advancing Women’s Economic Empowerment – Ensuring Nepal’s Sustainable and Equitable Development,ECONOMIC AFFAIRS,Finland,42008,43496,4817200,4551100
UN Women Nepal Strategic Note 2018-2022,OFF BUDGET,Finland, -, -,4562000,1141400
Sustainable Development Together,OTHERS - SOCIAL,Finland,39086,40739,1166280,1177315
Rural Water Supply and Sanitation Project in Western Nepal [RWSSP-WN],LOCAL DEVELOPMENT,Finland,39590,41274,15292356,12979796
Rural Village Water Resource Management Project Phase- II,LOCAL DEVELOPMENT,Finland,40319,42216,19487051,20366748
Strengthening of Environmental Administration and Management at the Local Level [SEAM,N],LOCAL DEVELOPMENT,39590,40755,9551124,8289336
Improved capability to respond to increased risk of natural disasters related to climate change,METEREOLOGY,Finland,39885,41274,639304,691592
Improving Research Capacity of Forest Resource Information Technology (IRCFRIT),FOREST,Finland,40203,41274,357974,326831
Regional Waste Management Project (RWMP),LOCAL DEVELOPMENT,Finland,40295,42004,5883926,3668585
Forest Resource Assessment in Nepal,FOREST,Finland,40021,41848,7174208,7393197
CTR 234365 SUNYA – Towards Zero-Waste in South Asia,ENVIRONMENT SCIENCE & TECHNOLOGY, -, -,0,1045243, -
CTR 322145 Service Contract Audiovisual Documentary production Followed by Impact Assessment of EIDHR Projects in Nepal,OTHERS - ECONOMIC,European Union, -, -,0,36735
CTR 315591 Audit - Improving maternal and child health in Nepal,HEALTH,European Union, -, -,0,39475
CTR 315594 Audit - Tackling Human Resources for Health (HRH) Crisis in Nepal,HEALTH,European Union, -, -,0,8359
